period,vintage,value,label,preliminary
2026-09-21T05,2026-09-21,0.0,,
2026-09-21T06,2026-09-21,0.0,,
2026-09-21T12,2026-09-21,0.0,,
2026-09-21T15,2026-09-21,0.0,,
2026-09-21T16,2026-09-21,0.0,,
2026-09-21T19,2026-09-21,2.0,,
2026-09-21T21,2026-09-21,2.0,,
2026-09-21T23,2026-09-21,1.0,,
2026-09-22T05,2026-09-22,0.0,,
2026-09-22T11,2026-09-22,0.0,,
2026-09-22T14,2026-09-22,1.0,,
2026-09-22T17,2026-09-22,2.0,,
2026-09-22T21,2026-09-22,0.0,,
2026-09-23T00,2026-09-23,0.0,,
2026-09-23T07,2026-09-23,0.0,,
